StichtagDatJahr,QuarSort,QuarLang,AnzBestWir
2021,11,Rathaus,3275.0
2021,12,Hochschulen,701.0
2021,13,Lindenhof,1024.0
2021,14,City,817.0
2021,21,Wollishofen,19937.0
2021,23,Leimbach,6338.0
2021,24,Enge,9750.0
2021,31,Alt-Wiedikon,17631.0
2021,33,Friesenberg,10957.0
2021,34,Sihlfeld,21516.0
2021,41,Werd,4574.0
2021,42,Langstrasse,11815.0
2021,44,Hard,12634.0
2021,51,Gewerbeschule,9583.0
2021,52,Escher Wyss,6221.0
2021,61,Unterstrass,24489.0
2021,63,Oberstrass,10866.0
2021,71,Fluntern,8777.0
2021,72,Hottingen,11293.0
2021,73,Hirslanden,7338.0
2021,74,Witikon,11255.0
2021,81,Seefeld,5862.0
2021,82,Mühlebach,6408.0
2021,83,Weinegg,5548.0
2021,91,Albisrieden,22412.0
2021,92,Altstetten,34665.0
2021,101,Höngg,24510.0
2021,102,Wipkingen,16507.0
2021,111,Affoltern,26554.0
2021,115,Oerlikon,23880.0
2021,119,Seebach,26541.0
2021,121,Saatlen,8788.0
2021,122,Schwamendingen-Mitte,10975.0
2021,123,Hirzenbach,12891.0
